edge_drive,v_tor,v_pol,tct_gain,edge_shear,residual_instability,stability_margin,stability_window_shift,event_amplitude,event_frequency,heat_pulse_severity,wetted_fraction,peak_heat_flux,divertor_load_proxy,freq_severity_product,damage_index
0.85,0.6,0.2,0.4,9.125,0.16777584064746165,-0.16777584064746165,0.29623805223117916,0.41038530519780403,1.1212821244644988,0.4243215776635564,0.36820381321289164,1.1524095146136306,0.8975787366811047,0.47578420005872035,0.7088101802163058
0.85,0.4,0.1,0.6,5.8125,0.16768123073689478,-0.16768123073689478,0.33738715993511253,0.4102102768632554,1.150534415704947,0.42750049087951236,0.3587498809248892,1.1916393944922796,0.924190778227811,0.4918540274876378,0.7262243616657652
0.7,0.0,0.3,0.6,2.4375,0.16582509214781416,-0.16582509214781416,0.2512607783872814,0.4067764204734562,1.0102607783872815,0.40794509643047816,0.30410051229485446,1.3414811219881684,1.0147435130429767,0.4121309306591295,0.742035255748906
0.7,0.2,0.0,0.6,2.5,0.170807433706179,-0.170807433706179,0.27980702325584245,0.4159937523564312,1.0151899005250007,0.4177630453972797,0.304700524428863,1.3710611302042996,1.0374068005218426,0.42410882449988574,0.7563231573548788
0.7,0.4,0.2,0.2,6.625,0.18659616639512933,-0.18659616639512933,0.20248800494587033,0.44520290783098926,0.988135260715705,0.4437238872305823,0.32554398594358663,1.3630228368201986,1.0412682044638328,0.43845921899437756,0.7626061200049176
0.85,0.4,0.3,0.4,7.437499999999999,0.18801529738036205,-0.18801529738036205,0.2764899127791883,0.4478283001536698,1.1276371685490227,0.463832970297436,0.35319301091122857,1.3132563668254909,1.0159581780406717,0.5230352973058837,0.7768579680560294
0.7,0.6,0.0,0.2,7.5,0.19752917044394536,-0.19752917044394536,0.22086125655528077,0.46542896532129896,0.9884053287886008,0.46391794649025353,0.33250898964491293,1.3952042228562678,1.0692540261281627,0.45853897043163155,0.7820186203378637
0.85,0.6,0.1,0.4,8.3125,0.19469800753161304,-0.19469800753161304,0.2939027576628761,0.4601913139334841,1.1269468298961958,0.4765488658993779,0.35934792404680393,1.326148932579638,1.028788909241547,0.5370452337159313,0.7867109517478139
0.85,0.2,0.3,0.6,4.9375,0.1865070927772089,-0.1865070927772089,0.30869470112460046,0.4450381216378365,1.1475775783937585,0.4634278631574178,0.3446528390369829,1.344622213042875,1.036204190582965,0.5318194249623837,0.7888705098514748
0.7,0.2,0.1,0.4,3.3125,0.19736411645431085,-0.19736411645431085,0.2210547005390701,0.4651236154404751,1.0024375778082284,0.4654410724413377,0.29674304757763537,1.5684986598365602,1.1824285042482323,0.46657562127055874,0.836696281066884
0.85,0.4,0.0,0.6,5.0,0.20590694700721424,-0.20590694700721424,0.33098253125006766,0.4809278519633463,1.1521297870199023,0.5014136184368607,0.34303389470131196,1.4617028409785975,1.1256016130889896,0.5776935654185389,0.8427818097723909
1.0,0.6,0.3,0.6,9.937499999999998,0.21636440693719683,-0.21636440693719683,0.3680187765999527,0.5002741528338142,1.2585628488332725,0.5364927996770358,0.38633210481853514,1.3886829310471955,1.0904163850676396,0.6752099063400684,0.8524410875505433
0.85,0.4,0.2,0.4,6.625,0.21433329546143443,-0.21433329546143443,0.2724880049458703,0.49651659660365366,1.1316352607157047,0.5148171422638605,0.3419520277295001,1.5055244610834848,1.1587768994966163,0.5825852310066779,0.8594794786571605
0.7,0.4,0.1,0.2,5.8125,0.21927450906348578,-0.21927450906348578,0.19738715993511252,0.5056578417674488,0.9910344157049472,0.504388456726099,0.3120685513815956,1.61627454766929,1.2271144158391731,0.4998663194998696,0.8681840857064915
0.85,0.6,0.0,0.4,7.5,0.22526629951025046,-0.22526629951025046,0.2908612565552808,0.5167426540939634,1.1319053287886005,0.5358277648064237,0.3489170314308264,1.5356881909980733,1.185737041830996,0.6065063022972759,0.878613307466819
0.85,0.2,0.2,0.6,4.125,0.22289990998179465,-0.22289990998179465,0.3006824454514582,0.5123648334663201,1.1475653227206164,0.5335348724266428,0.32746982229375154,1.6292642439218228,1.2457589638985098,0.6122661180589832,0.9077630070525655
1.0,0.6,0.2,0.6,9.125,0.23844543325456558,-0.23844543325456558,0.3662380522311791,0.5411240515209463,1.264782124464499,0.5812424447899012,0.3790521009702717,1.5334104290731443,1.2001516345740093,0.7351450541503105,0.9180042402957634
0.7,0.0,0.2,0.6,1.625,0.2179608581907898,-0.2179608581907898,0.23844341859148754,0.5032275876529612,1.0054434185914876,0.5039945856067474,0.2805588269448486,1.7963953980525482,1.344055113696518,0.5067380391040482,0.924027095175805
0.7,0.2,0.3,0.2,4.9375,0.2381003711037999,-0.2381003711037999,0.16869470112460047,0.5404856865420298,0.9880775783937586,0.5386813950384438,0.2979715094936894,1.8078285268070313,1.3636270306880258,0.5322590083353572,0.9417478084821207
0.85,0.4,0.1,0.4,5.8125,0.24701163812979088,-0.24701163812979088,0.26738715993511253,0.5569715305401132,1.134534415704947,0.5779524455792544,0.3284765931675091,1.7594935456619376,1.3459541606329986,0.6557069401505046,0.9662609500054938
