idx,reconn_trigger,conf_trigger,rad_trigger,margin_trigger,tct_pass_rate,tct_fail_pnet,tct_burst_rate,tct_pnet_p05,tct_pnet_p50,tct_pnet_p95,tct_tail_burst_frac,corr_precursor_pburst,corr_pburst_burst
81,0.55,0.7,0.65,0.08,0.256,0.607,0.373,-28.130350013692933,-4.354389595443504,22.360318627949386,0.39,0.9034414106020651,0.1248577441327008
82,0.55,0.7,0.65,0.04,0.2624,0.6072,0.3764,-27.26136260729976,-4.307576773102586,21.62102882025419,0.42,0.9052895002938424,0.13272582917733516
83,0.55,0.7,0.65,0.02,0.2706,0.6056,0.3718,-28.173356107034106,-4.400251457439968,22.958542754915495,0.386,0.9098194330933806,0.14431845555718997
84,0.55,0.7,0.65,0.01,0.2656,0.6058,0.3672,-27.774912500591803,-3.995599403098784,23.21413686730108,0.398,0.9090460537644615,0.12106546427841042
85,0.55,0.7,0.7,0.15,0.258,0.6142,0.3712,-27.559746233151316,-4.224198110721783,21.30295156645778,0.4,0.9050308675027651,0.13226903985071498
86,0.55,0.7,0.7,0.08,0.2728,0.5994,0.364,-28.2500877347569,-3.835685310360467,22.711445006466228,0.372,0.9064543348038213,0.12620415328407017
87,0.55,0.7,0.7,0.04,0.2788,0.597,0.3662,-28.089839385624423,-3.8184927918091858,23.17220465651831,0.414,0.9077346193350073,0.13760001770789362
88,0.55,0.7,0.7,0.02,0.2554,0.621,0.3662,-28.405206026784487,-4.7788452593144894,22.52762561357443,0.382,0.9095080155733389,0.13680063365862805
89,0.55,0.7,0.7,0.01,0.249,0.629,0.37,-27.97469897663694,-4.847333174620813,22.329528250399868,0.4,0.9098915116673476,0.11132622394061083
90,0.55,0.7,0.75,0.15,0.2716,0.6004,0.3636,-27.487000554422405,-4.030693062666717,21.769469754350197,0.42,0.9050106135961873,0.13227642944763415
91,0.55,0.7,0.75,0.08,0.2506,0.6194,0.3704,-28.324490420360327,-4.5852695959861425,22.109598319203307,0.368,0.9055332755938101,0.11255466237487884
92,0.55,0.7,0.75,0.04,0.2698,0.605,0.3626,-27.74669144949149,-4.108457057238012,22.068721922558364,0.4,0.9081595469806862,0.13063294442415843
93,0.55,0.7,0.75,0.02,0.2624,0.6134,0.373,-27.957069342918135,-4.324766100221568,21.86062327369353,0.384,0.9056487838279533,0.13850332035114704
94,0.55,0.7,0.75,0.01,0.2558,0.6204,0.3608,-28.081268729021424,-4.505489311957973,22.009749295347167,0.394,0.9065695756718731,0.13198951909196505
95,0.55,0.7,0.8,0.15,0.2612,0.6026,0.3756,-28.280522743884223,-4.193700611302234,22.408484212989208,0.394,0.9065005302172567,0.11722545341955905
96,0.55,0.7,0.8,0.08,0.277,0.5948,0.367,-27.77163255199193,-3.6494532507220114,23.492350108279286,0.414,0.9101144568425649,0.13172048868891625
97,0.55,0.7,0.8,0.04,0.2724,0.6046,0.3594,-27.80928611325289,-4.095529916232641,23.593631470975648,0.436,0.9093289375802939,0.1468535568103661
98,0.55,0.7,0.8,0.02,0.2538,0.6156,0.3624,-27.84464892848802,-4.170047460689025,22.23698066996691,0.346,0.9054692219638573,0.10369311218834557
99,0.55,0.7,0.8,0.01,0.2664,0.5996,0.3648,-27.739130030575566,-3.792488460013856,22.682719892676463,0.414,0.905707905923846,0.1136817553199183
100,0.6,0.55,0.6,0.15,0.2712,0.5962,0.3742,-28.15044060708691,-3.7269158944256793,21.50630734767315,0.388,0.9046901822556572,0.11817902748212324
101,0.6,0.55,0.6,0.08,0.2632,0.6124,0.3662,-27.756812137662543,-4.413151734652256,21.77569216064542,0.406,0.9091442688904728,0.11289413365737588
102,0.6,0.55,0.6,0.04,0.2592,0.6146,0.3752,-28.325640930827163,-4.394557100515174,22.55355757623935,0.418,0.9086606073909154,0.12706535851587392
103,0.6,0.55,0.6,0.02,0.2728,0.6018,0.3662,-27.445657888411272,-3.9180455335697353,22.125845574182758,0.402,0.9042302597197327,0.13044083773686296
104,0.6,0.55,0.6,0.01,0.2688,0.604,0.358,-27.62894689344973,-4.1986708426131925,22.124504931383637,0.408,0.904616710457357,0.10118681256103736
105,0.6,0.55,0.65,0.15,0.263,0.6064,0.3794,-28.394772952345292,-4.148460351607305,22.250608162479875,0.398,0.9054717616151837,0.11778930595769918
106,0.6,0.55,0.65,0.08,0.2586,0.6176,0.3656,-27.784040332649163,-4.0388091833375865,22.47076968009633,0.404,0.909116323097124,0.13812502206832114
107,0.6,0.55,0.65,0.04,0.261,0.61,0.3768,-28.385935454584615,-4.395060844348801,21.42147064314215,0.392,0.9055484012648147,0.13016830483394973
108,0.6,0.55,0.65,0.02,0.2494,0.6158,0.385,-27.93427463367786,-4.4912630160794516,22.276777122446898,0.428,0.9063858739433927,0.09895935015417127
109,0.6,0.55,0.65,0.01,0.2584,0.619,0.3592,-27.98340165962087,-4.704373850258729,21.93984714868731,0.402,0.9062725495153353,0.11399433857226865
110,0.6,0.55,0.7,0.15,0.2652,0.5992,0.3838,-27.95054529852462,-3.740902278885015,22.249883531288106,0.394,0.9087434097776301,0.12947079937179626
